Viral ID,Line,Sex,Infection Day,Lifespan,Mean Viral Titre per Well,Viral Titre per Well SD,Viral Titre per Fly,log10(Viral Titre per Fly +1),Ct_Rep1,Ct_Rep2,Ct_Mean,Quantity_Rep1,Quantity_Rep2
517,373,Male,15/12/2015,22,0.001517716,0.002146374,0.9485725,0.289716569,Undetermined,38.05091476,38.05091476,0,0.003035432
518,373,Male,15/12/2015,3,8.100579262,2.740591744,5062.862039,3.704481865,22.70216751,23.3543663,23.02826691,10.03847027,6.162688255
519,373,Male,15/12/2015,13,0.268321164,0.228655831,167.7007275,2.227116955,32.36358261,30.27147484,31.31752872,0.106637076,0.430005252
520,373,Male,15/12/2015,14,0.385829628,0.039305856,241.1435175,2.384072847,30.54629326,30.32975388,30.43802357,0.35803619,0.413623065
521,373,Male,15/12/2015,16,201.7366409,14.12984628,126085.4006,5.100668247,21.66941071,21.81155586,21.74048328,211.727951,191.7453308
522,373,Male,15/12/2015,16,0.166845009,0.008675212,104.2781306,2.022338165,31.86403847,31.96952248,31.91678047,0.17297931,0.160710707
523,373,Male,15/12/2015,13,0.520170018,0.328942181,325.1062613,2.513359137,29.43131256,30.87511826,30.15321541,0.752767265,0.287572771
524,373,Male,15/12/2015,13,0.302492958,0.356195266,189.0580988,2.27888638,30.94023514,34.54216766,32.7412014,0.554361045,0.05062487
525,373,Male,15/12/2015,7,0,0,0,0,Undetermined,Undetermined,35.94555664,0,0
526,373,Male,15/12/2015,12,57854.11328,1390.127738,36158820.8,7.558214271,15.3290863,15.28130054,15.3290863,56871.14453,58837.08203
527,59,Male,15/12/2015,4,67.91634369,0.843098814,42447.71481,4.627864546,26.69087219,26.6545639,20.98608637,67.3201828,68.51250458
528,59,Male,15/12/2015,16,60.73217773,2.09382846,37957.61108,4.579310313,22.38495064,22.45792961,24.51975727,62.21273804,59.25161743
529,59,Male,15/12/2015,11,0.434972554,0.222142088,271.8578463,2.435936447,31.51538658,30.34688759,26.9866581,0.277894378,0.592050731
530,59,Male,15/12/2015,13,0.342709936,0.286388626,214.19371,2.332829573,31.31333351,33.42498398,30.83011055,0.545217276,0.140202597
531,59,Male,15/12/2015,9,2.987638474,0.382654947,1867.274046,3.271440581,32.95368958,33.329319,33.18933678,3.258216381,2.717060566
532,59,Male,15/12/2015,15,0.141430411,0.050144924,88.39400688,1.951308404,33.88013077,33.15972519,33.60472488,0.105972596,0.176888227
533,59,Male,15/12/2015,15,3.501770139,0.889247084,2188.606337,3.340366041,27.17962837,26.69628525,30.16967678,2.872977495,4.130562782
534,59,Male,15/12/2015,13,0.023947871,0.033442984,14.96741938,1.203234732,38.62813568,31.88887978,32.66221046,0.00030011,0.047595631
535,59,Male,15/12/2015,6,4491.447876,607.7960852,2807154.923,6.448266536,17.54715538,17.25825882,24.71801758,4061.671143,4921.224609
536,59,Male,15/12/2015,13,0.164612517,0.232797254,102.8828231,2.016543744,31.72443199,Undetermined,24.49134541,0.329225034,0
537,380,Female,15/12/2015,18,0.237872295,0.329368697,148.6701844,2.175135294,37.73077774,30.70101357,37.73077774,0.004973455,0.470771134
538,380,Female,15/12/2015,10,5.643493652,0.513737715,3527.183533,3.547551169,26.19775581,26.36938095,28.44938469,6.006761074,5.280226231
539,380,Female,15/12/2015,9,1.993110776,0.121320715,1245.694235,3.095759951,27.70063782,27.5622673,27.03500938,1.907324076,2.078897476
540,380,Female,15/12/2015,28,0.051306281,0.004409946,32.06642563,1.519387252,31.71053314,31.87242699,29.63640022,0.054424584,0.048187979
541,380,Female,15/12/2015,9,2.831559062,1.03205342,1769.724414,3.248150975,33.86033249,32.76972198,32.86637974,2.10178709,3.561331034
542,380,Female,15/12/2015,10,0.077318882,0.104225188,48.32430125,1.693060942,37.43914795,31.84149933,35.10443497,0.003620544,0.151017219
543,380,Female,15/12/2015,8,141.7854385,8.871904868,88615.89906,4.947516549,20.8519268,20.70968056,26.34671307,135.5120544,148.0588226
544,380,Female,15/12/2015,10,8845.475098,645.7673395,5528421.936,6.74260126,16.41931152,16.55688286,18.56449604,9302.101563,8388.848633
545,380,Female,15/12/2015,23,0.706617922,0.235488309,441.6362013,2.64604693,36.6704483,35.67707443,26.61366558,0.540102541,0.873133302
546,380,Female,15/12/2015,28,114.0066566,0.241422543,71254.16038,4.852816322,22.92226791,22.92677498,29.29967117,114.1773682,113.8359451
547,138,Male,15/12/2015,17,0.457865916,0.342049461,286.1661975,2.458133318,30.85963631,29.10063553,29.98013592,0.216000423,0.69973141
548,138,Male,15/12/2015,14,0.344925895,0.287307037,215.5786844,2.335615711,31.30518341,33.40770721,32.35644531,0.54808265,0.141769141
549,138,Male,15/12/2015,18,0.030415133,0.036157139,19.00945813,1.301235328,31.67300034,34.92724228,33.30012131,0.055982091,0.004848175
550,138,Male,15/12/2015,14,0.286155954,0.040736425,178.8474713,2.254904336,31.04171562,30.73862267,30.89016914,0.257350951,0.314960957
551,138,Male,15/12/2015,11,2.195225313,2.79846297,1372.015821,3.137675541,28.71482468,32.87615204,30.79548836,4.174037457,0.21641317
552,138,Male,15/12/2015,7,217.6784897,7.748082418,136049.0561,5.133698725,21.38516808,21.45219612,21.4186821,223.1572113,212.1997681
553,138,Male,15/12/2015,28,0,0,0,0,Undetermined,Undetermined,Undetermined,0,0
554,138,Male,15/12/2015,6,1995450.563,1303801.932,1247156602,9.09592099,9.925185204,8.525689125,9.225437164,1073523.375,2917377.75
