Vial,Line,Sex,pastrel_SNP,Infection_Duration,Infection_Day,Collection_Day,Viral Load,Viral Load per Fly,Threshold_InfectionPA,Virus Shed,Virus Shed per Fly,SheddingPA,Shed Plate,Shed Well
510,738,f,C,1,2,3,3701.985352,1388244.507,1,0.069479808,17.36995205,1,5,A9
511,738,f,C,1,3,4,NA,NA,NA,0.351927668,87.98191696,1,15,H4
512,738,f,C,1,1,2,NA,NA,NA,0,0,0,11,G10
513,738,f,C,1,2,3,NA,NA,NA,0,0,0,10,G9
514,738,f,C,1,3,4,19.56421852,7336.581945,1,8.203352928,2050.838232,1,13,F5
551,379,f,C,1,1,2,13.13820744,4926.827788,1,0,0,0,11,F6
552,379,f,C,2,2,4,0,0,0,1.779332042,444.8330104,1,6,H10
553,379,f,C,3,3,6,0,0,0,0,0,0,11,A6
554,379,f,C,3,1,4,0,0,0,0,0,0,10,G10
555,379,f,C,3,2,5,11.1525507,4182.206511,1,0,0,0,9,F5
556,379,f,C,3,3,6,0,0,0,0.806785405,201.6963512,1,4,G8
557,379,f,C,3,1,4,10.60935688,3978.50883,1,0.122658111,30.66452779,1,18,H10
558,379,f,C,3,2,5,25.0011673,9375.437737,1,0,0,0,9,F6
559,379,f,C,3,3,6,0,0,0,0,0,0,19,G12
560,379,f,C,3,1,4,1229.837524,461189.0717,1,0,0,0,11,F7
561,379,f,C,3,2,5,0,0,0,0,0,0,18,G8
562,379,f,C,3,3,6,6993.714355,2622642.883,1,NA,NA,NA,21,B11
563,379,f,C,3,1,4,0,0,0,NA,NA,NA,21,G7
564,379,f,C,3,2,5,0,0,0,NA,NA,NA,7,A9
565,379,f,C,2,3,5,10.44514561,3916.929603,1,8.227396965,2056.849241,1,3,E9
566,379,f,C,2,1,3,0,0,0,1.461323738,365.3309345,1,14,H10
567,379,f,C,2,2,4,0,0,0,2.694678307,673.6695766,1,8,G10
568,379,f,C,2,3,5,0,0,0,0,0,0,NA,NA
569,379,f,C,2,1,3,0,0,0,0,0,0,11,F8
570,379,f,C,2,2,4,0,0,0,0,0,0,17,B5
571,379,f,C,2,3,5,0,0,0,1.888095379,472.0238447,1,8,H6
572,379,f,C,2,1,3,2.025584936,759.5943511,1,1.76287353,440.7183826,1,4,B10
573,379,f,C,2,2,4,0,0,0,0.009251271,2.312817844,1,12,C8
574,379,f,C,2,3,5,0,0,0,0.44940868,112.3521701,1,11,D9
575,379,f,C,2,1,3,0,0,0,0,0,0,12,G10
576,379,f,C,1,1,2,18.57274818,6964.780569,1,0,0,0,11,A5
577,379,f,C,1,2,3,NA,NA,NA,1.744498134,436.1245334,1,4,A5
578,379,f,C,1,3,4,13.63012409,5111.296535,1,8.49628067,2124.070168,1,NA,NA
579,379,f,C,1,1,2,8.280726433,3105.272412,1,0,0,0,11,E7
580,379,f,C,1,2,3,7.101420403,2663.032651,1,0,0,0,20,D12
581,379,f,C,1,3,4,NA,NA,NA,0,0,0,11,F9
582,379,f,C,1,1,2,2079.372559,779764.7095,1,0.084926791,21.23169787,1,15,G4
583,379,f,C,1,2,3,4091.699707,1534387.39,1,0.015629426,3.907356411,1,3,G6
584,379,f,C,1,3,4,0,0,0,0.334171772,83.542943,1,21,D10
585,379,f,C,1,1,2,0,0,0,0.027175933,6.793983281,1,18,B8
586,379,f,C,1,2,3,6085.297852,2281986.694,1,0,0,0,21,C10
587,380,f,T,3,3,6,0,0,0,0.171745181,42.93629527,1,10,F6
588,380,f,T,2,2,4,0,0,0,0.899792492,224.9481231,1,20,A12
589,380,f,T,1,1,2,0.067475341,25.30325297,1,0.093413927,23.35348167,1,15,D6
590,380,f,T,3,1,4,0,0,0,0,0,0,NA,NA
591,380,f,T,3,2,5,0.232672021,87.2520078,1,0,0,0,NA,NA
592,380,f,T,3,3,6,0,0,0,NA,NA,NA,20,F12
